run_id,scene,position,code
run01,task2,1,HYPO
run01,task2,2,HYPO
run01,task2,3,HYPO
run01,task2,4,EVAL
run01,task2,5,EVAL
run01,task2,6,EVAL
run01,task2,7,EVAL
run01,task2,8,HYPO
run01,task2,9,EVAL
run01,task2,10,EVAL
run01,task2,11,EVAL
run01,task2,12,EVAL
run01,task2,13,EVAL
run02,task2,1,HYPO
run02,task2,2,EVAL
run02,task2,3,EVAL
run02,task2,4,EVAL
run02,task2,5,EVAL
run02,task2,6,EVAL
run02,task2,7,EVAL
run02,task2,8,EVAL
run02,task2,9,EVAL
run02,task2,10,EVAL
run02,task2,11,EVAL
run02,task2,12,EVAL
run02,task2,13,EVAL
run03,task2,1,PROC
run03,task2,2,HYPO
run03,task2,3,EVAL
run03,task2,4,HYPO
run03,task2,5,EVAL
run03,task2,6,EVAL
run03,task2,7,HYPO
run03,task2,8,EVAL
run03,task2,9,META
run03,task2,10,EVAL
run03,task2,11,HYPO
run03,task2,12,EVAL
run03,task2,13,HYPO
run03,task2,14,EVAL
run03,task2,15,RUL
run03,task2,16,RUL
run04,task2,1,PROC
run04,task2,2,EVAL
run04,task2,3,HYPO
run04,task2,4,EVAL
run04,task2,5,HYPO
run04,task2,6,EVAL
run04,task2,7,EVAL
run04,task2,8,EVAL
run04,task2,9,DEC
run04,task2,10,EVAL
run04,task2,11,EVAL
run04,task2,12,EVAL
run04,task2,13,EVAL
run04,task2,14,EVAL
run04,task2,15,EVAL
run05,task2,1,HYPO
run05,task2,2,EVAL
run05,task2,3,EVAL
run05,task2,4,EVAL
run05,task2,5,EVAL
run05,task2,6,EVAL
run05,task2,7,EVAL
run05,task2,8,HYPO
run05,task2,9,EVAL
run05,task2,10,EVAL
run05,task2,11,EVAL
run05,task2,12,DEC
run05,task2,13,EVAL
run05,task2,14,EVAL
run05,task2,15,EVAL
run05,task2,16,EVAL
run05,task2,17,EVAL
run05,task2,18,EVAL
run06,task2,1,PROC
run06,task2,2,EVAL
run06,task2,3,EVAL
run06,task2,4,EVAL
run06,task2,5,HYPO
run06,task2,6,DEC
run06,task2,7,HYPO
run06,task2,8,HYPO
run06,task2,9,EVAL
run06,task2,10,HYPO
run06,task2,11,HYPO
run06,task2,12,EVAL
run06,task2,13,EVAL
run06,task2,14,EVAL
run06,task2,15,EVAL
run06,task2,16,EVAL
run06,task2,17,EVAL
run06,task2,18,EVAL
run07,task2,1,PROC
run07,task2,2,EVAL
run07,task2,3,PROC
run07,task2,4,EVAL
run07,task2,5,HYPO
run07,task2,6,EVAL
run07,task2,7,HYPO
run07,task2,8,EVAL
run07,task2,9,EVAL
run07,task2,10,HYPO
run07,task2,11,HYPO
run07,task2,12,HYPO
run07,task2,13,PROC
run07,task2,14,EVAL
run07,task2,15,EVAL
run07,task2,16,HYPO
run07,task2,17,DEC
run07,task2,18,EVAL
run07,task2,19,HYPO
run07,task2,20,EVAL
run08,task2,1,HYPO
run08,task2,2,EVAL
run08,task2,3,HYPO
