run_id,scene,position,code
run01,task4,1,PROC
run01,task4,2,HYPO
run01,task4,3,EVAL
run01,task4,4,EVAL
run01,task4,5,EVAL
run01,task4,6,EVAL
run01,task4,7,EVAL
run01,task4,8,EVAL
run01,task4,9,HYPO
run01,task4,10,HYPO
run01,task4,11,HYPO
run01,task4,12,EVAL
run01,task4,13,RUL
run01,task4,14,EVAL
run01,task4,15,HYPO
run01,task4,16,EVAL
run02,task4,1,PROC
run02,task4,2,HYPO
run02,task4,3,EVAL
run02,task4,4,EVAL
run02,task4,5,PROC
run02,task4,6,HYPO
run02,task4,7,HYPO
run02,task4,8,HYPO
run02,task4,9,HYPO
run02,task4,10,EVAL
run02,task4,11,HYPO
run02,task4,12,HYPO
run02,task4,13,HYPO
run02,task4,14,DEC
run02,task4,15,HYPO
run02,task4,16,EVAL
run03,task4,1,PROC
run03,task4,2,HYPO
run03,task4,3,HYPO
run03,task4,4,EVAL
run03,task4,5,HYPO
run03,task4,6,EVAL
run03,task4,7,HYPO
run03,task4,8,EVAL
run03,task4,9,HYPO
run03,task4,10,HYPO
run03,task4,11,HYPO
run03,task4,12,DEC
run03,task4,13,EVAL
run03,task4,14,EVAL
run03,task4,15,EVAL
run03,task4,16,EVAL
run03,task4,17,EVAL
run03,task4,18,HYPO
run03,task4,19,EVAL
run04,task4,1,PROC
run04,task4,2,PROC
run04,task4,3,EVAL
run04,task4,4,HYPO
run04,task4,5,EVAL
run04,task4,6,EVAL
run04,task4,7,HYPO
run04,task4,8,EVAL
run04,task4,9,EVAL
run04,task4,10,HYPO
run04,task4,11,EVAL
run04,task4,12,EVAL
run04,task4,13,HYPO
run04,task4,14,HYPO
run05,task4,1,EVAL
run05,task4,2,HYPO
run05,task4,3,HYPO
run05,task4,4,HYPO
run05,task4,5,HYPO
run05,task4,6,EVAL
run05,task4,7,EVAL
run05,task4,8,EVAL
run05,task4,9,DEC
run05,task4,10,EVAL
run05,task4,11,EVAL
run05,task4,12,EVAL
run05,task4,13,EVAL
run05,task4,14,HYPO
run05,task4,15,DEC
run05,task4,16,EVAL
run06,task4,1,PROC
run06,task4,2,HYPO
run06,task4,3,EVAL
run06,task4,4,HYPO
run06,task4,5,HYPO
run06,task4,6,EVAL
run06,task4,7,EVAL
run06,task4,8,DEC
run06,task4,9,HYPO
run06,task4,10,EVAL
run06,task4,11,DEC
run06,task4,12,HYPO
run07,task4,1,EVAL
run07,task4,2,EVAL
run07,task4,3,EVAL
run07,task4,4,EVAL
run07,task4,5,HYPO
run07,task4,6,HYPO
run07,task4,7,HYPO
run07,task4,8,EVAL
run07,task4,9,DEC
run07,task4,10,EVAL
run07,task4,11,EVAL
run07,task4,12,EVAL
run07,task4,13,EVAL
run07,task4,14,DEC
run07,task4,15,EVAL
run07,task4,16,EVAL
run07,task4,17,EVAL
run07,task4,18,EVAL
run08,task4,1,PROC
run08,task4,2,PROC
run08,task4,3,PROC
run08,task4,4,PROC
run08,task4,5,HYPO
run08,task4,6,HYPO
run08,task4,7,EVAL
run08,task4,8,PROC
run08,task4,9,HYPO
run08,task4,10,HYPO
run08,task4,11,PROC
run08,task4,12,EVAL
run08,task4,13,HYPO
run08,task4,14,EVAL
run08,task4,15,EVAL
run09,task4,1,PROC
run09,task4,2,EVAL
run09,task4,3,EVAL
run09,task4,4,PROC
run09,task4,5,HYPO
run09,task4,6,EVAL
run09,task4,7,EVAL
run09,task4,8,EVAL
run09,task4,9,HYPO
run09,task4,10,EVAL
run09,task4,11,HYPO
run09,task4,12,EVAL
run09,task4,13,DEC
run10,task4,1,HYPO
run10,task4,2,HYPO
run10,task4,3,HYPO
run10,task4,4,EVAL
run10,task4,5,HYPO
run10,task4,6,EVAL
run10,task4,7,HYPO
run10,task4,8,EVAL
run10,task4,9,EVAL
run10,task4,10,HYPO
run10,task4,11,EVAL
run10,task4,12,DEC
run10,task4,13,EVAL
run10,task4,14,EVAL
run11,task4,1,PROC
run11,task4,2,EVAL
run11,task4,3,EVAL
run11,task4,4,HYPO
run11,task4,5,EVAL
run11,task4,6,HYPO
run11,task4,7,EVAL
run11,task4,8,HYPO
run11,task4,9,EVAL
run11,task4,10,EVAL
run11,task4,11,HYPO
run11,task4,12,HYPO
run11,task4,13,HYPO
run11,task4,14,EVAL
run11,task4,15,EVAL
run11,task4,16,EVAL
run11,task4,17,EVAL
run11,task4,18,HYPO
run11,task4,19,EVAL
run12,task4,1,HYPO
run12,task4,2,EVAL
run12,task4,3,HYPO
run12,task4,4,HYPO
run12,task4,5,EVAL
run12,task4,6,EVAL
run12,task4,7,HYPO
run12,task4,8,HYPO
run12,task4,9,PROC
run12,task4,10,EVAL
run12,task4,11,HYPO
run12,task4,12,HYPO
run12,task4,13,EVAL
run12,task4,14,EVAL
run12,task4,15,HYPO
run13,task4,1,PROC
run13,task4,2,EVAL
run13,task4,3,EVAL
run13,task4,4,EVAL
run13,task4,5,HYPO
run13,task4,6,HYPO
run13,task4,7,HYPO
run13,task4,8,HYPO
run13,task4,9,HYPO
run13,task4,10,HYPO
run13,task4,11,EVAL
run13,task4,12,HYPO
run13,task4,13,HYPO
run13,task4,14,RUL
run13,task4,15,EVAL
run13,task4,16,EVAL
run13,task4,17,EVAL
run14,task4,1,HYPO
run14,task4,2,HYPO
run14,task4,3,HYPO
run14,task4,4,EVAL
run14,task4,5,EVAL
run14,task4,6,EVAL
run14,task4,7,HYPO
run14,task4,8,HYPO
run14,task4,9,HYPO
run14,task4,10,EVAL
run14,task4,11,EVAL
run14,task4,12,EVAL
run14,task4,13,EVAL
run14,task4,14,EVAL
