run_id,scene,position,code
run01,task3,1,HYPO
run01,task3,2,EVAL
run01,task3,3,HYPO
run01,task3,4,EVAL
run01,task3,5,EVAL
run01,task3,6,HYPO
run01,task3,7,HYPO
run01,task3,8,EVAL
run01,task3,9,HYPO
run01,task3,10,EVAL
run01,task3,11,HYPO
run01,task3,12,EVAL
run01,task3,13,RUL
run02,task3,1,HYPO
run02,task3,2,EVAL
run02,task3,3,HYPO
run02,task3,4,EVAL
run02,task3,5,HYPO
run02,task3,6,HYPO
run02,task3,7,HYPO
run02,task3,8,EVAL
run02,task3,9,EVAL
run02,task3,10,EVAL
run02,task3,11,HYPO
run02,task3,12,EVAL
run02,task3,13,RUL
run02,task3,14,EVAL
run02,task3,15,EVAL
run02,task3,16,EVAL
run02,task3,17,RUL
run03,task3,1,PROC
run03,task3,2,EVAL
run03,task3,3,PROC
run03,task3,4,EVAL
run03,task3,5,EVAL
run03,task3,6,HYPO
run03,task3,7,EVAL
run03,task3,8,EVAL
run03,task3,9,HYPO
run03,task3,10,EVAL
run03,task3,11,EVAL
run03,task3,12,RUL
run04,task3,1,EVAL
run04,task3,2,PROC
run04,task3,3,PROC
run04,task3,4,EVAL
run04,task3,5,EVAL
run04,task3,6,EVAL
run04,task3,7,HYPO
run04,task3,8,HYPO
run04,task3,9,EVAL
run04,task3,10,HYPO
run04,task3,11,META
run04,task3,12,PROC
run04,task3,13,HYPO
run05,task3,1,PROC
run05,task3,2,PROC
run05,task3,3,EVAL
run05,task3,4,EVAL
run05,task3,5,EVAL
run05,task3,6,EVAL
run05,task3,7,HYPO
run05,task3,8,HYPO
run05,task3,9,RUL
run05,task3,10,HYPO
run05,task3,11,DEC
run05,task3,12,HYPO
run05,task3,13,DEC
run05,task3,14,RUL
run06,task3,1,PROC
run06,task3,2,EVAL
run06,task3,3,EVAL
run06,task3,4,EVAL
run06,task3,5,EVAL
run06,task3,6,HYPO
run06,task3,7,HYPO
run06,task3,8,DEC
run06,task3,9,EVAL
run06,task3,10,HYPO
run06,task3,11,RUL
run07,task3,1,PROC
run07,task3,2,HYPO
run07,task3,3,EVAL
run07,task3,4,EVAL
run07,task3,5,HYPO
run07,task3,6,HYPO
run07,task3,7,EVAL
run07,task3,8,EVAL
run07,task3,9,RUL
run07,task3,10,HYPO
run07,task3,11,RUL
run08,task3,1,PROC
run08,task3,2,EVAL
run08,task3,3,EVAL
run08,task3,4,PROC
run08,task3,5,PROC
run08,task3,6,DEC
run08,task3,7,HYPO
run08,task3,8,RUL
run08,task3,9,EVAL
run08,task3,10,EVAL
run08,task3,11,EVAL
run08,task3,12,EVAL
run08,task3,13,EVAL
run08,task3,14,EVAL
run09,task3,1,PROC
run09,task3,2,EVAL
run09,task3,3,HYPO
run09,task3,4,EVAL
run09,task3,5,EVAL
run09,task3,6,EVAL
run09,task3,7,HYPO
run09,task3,8,EVAL
run09,task3,9,HYPO
run09,task3,10,EVAL
run09,task3,11,EVAL
run09,task3,12,EVAL
run09,task3,13,HYPO
run09,task3,14,HYPO
run09,task3,15,RUL
run09,task3,16,RUL
run09,task3,17,DEC
run10,task3,1,HYPO
run10,task3,2,EVAL
run10,task3,3,EVAL
run10,task3,4,EVAL
run10,task3,5,DEC
run10,task3,6,EVAL
run10,task3,7,HYPO
run10,task3,8,EVAL
run10,task3,9,HYPO
run10,task3,10,HYPO
run10,task3,11,DEC
run11,task3,1,HYPO
run11,task3,2,EVAL
run11,task3,3,HYPO
run11,task3,4,PROC
run11,task3,5,EVAL
run11,task3,6,EVAL
run11,task3,7,HYPO
run11,task3,8,HYPO
run11,task3,9,HYPO
run11,task3,10,EVAL
run11,task3,11,EVAL
run11,task3,12,HYPO
run11,task3,13,EVAL
run11,task3,14,HYPO
run11,task3,15,EVAL
run11,task3,16,EVAL
run11,task3,17,DEC
run12,task3,1,PROC
run12,task3,2,EVAL
run12,task3,3,HYPO
run12,task3,4,HYPO
run12,task3,5,EVAL
run12,task3,6,EVAL
run12,task3,7,EVAL
run12,task3,8,HYPO
run12,task3,9,EVAL
run12,task3,10,EVAL
run12,task3,11,HYPO
run12,task3,12,EVAL
run12,task3,13,HYPO
run12,task3,14,HYPO
run12,task3,15,HYPO
run12,task3,16,EVAL
run12,task3,17,RUL
run13,task3,1,PROC
run13,task3,2,HYPO
run13,task3,3,HYPO
run13,task3,4,HYPO
run13,task3,5,EVAL
run13,task3,6,EVAL
run13,task3,7,HYPO
run13,task3,8,DEC
run13,task3,9,HYPO
run13,task3,10,EVAL
run13,task3,11,HYPO
run13,task3,12,EVAL
run13,task3,13,EVAL
run13,task3,14,EVAL
run13,task3,15,HYPO
run13,task3,16,DEC
run13,task3,17,HYPO
run14,task3,1,PROC
run14,task3,2,EVAL
run14,task3,3,HYPO
run14,task3,4,HYPO
run14,task3,5,EVAL
run14,task3,6,EVAL
run14,task3,7,EVAL
run14,task3,8,HYPO
run14,task3,9,HYPO
run14,task3,10,EVAL
run14,task3,11,DEC
run14,task3,12,HYPO
run14,task3,13,HYPO
run14,task3,14,EVAL
run14,task3,15,EVAL
run14,task3,16,HYPO
run14,task3,17,RUL
run15,task3,1,PROC
run15,task3,2,HYPO
run15,task3,3,EVAL
run15,task3,4,EVAL
run15,task3,5,EVAL
run15,task3,6,HYPO
run15,task3,7,EVAL
run15,task3,8,RUL
run15,task3,9,EVAL
run15,task3,10,EVAL
run15,task3,11,HYPO
run15,task3,12,EVAL
run15,task3,13,EVAL
run15,task3,14,HYPO
run15,task3,15,EVAL
run15,task3,16,EVAL
run16,task3,1,PROC
run16,task3,2,PROC
run16,task3,3,HYPO
run16,task3,4,EVAL
run16,task3,5,EVAL
run16,task3,6,HYPO
run16,task3,7,HYPO
run16,task3,8,HYPO
run16,task3,9,EVAL
run16,task3,10,META
run16,task3,11,EVAL
run16,task3,12,HYPO
run16,task3,13,EVAL
run16,task3,14,EVAL
run16,task3,15,EVAL
run16,task3,16,EVAL
run16,task3,17,RUL
run17,task3,1,PROC
run17,task3,2,EVAL
run17,task3,3,PROC
run17,task3,4,EVAL
run17,task3,5,EVAL
run17,task3,6,EVAL
run17,task3,7,EVAL
run17,task3,8,HYPO
run17,task3,9,HYPO
run17,task3,10,HYPO
run17,task3,11,EVAL
run17,task3,12,OTH
run17,task3,13,HYPO
run17,task3,14,EVAL
run17,task3,15,OTH
run17,task3,16,EVAL
run17,task3,17,RUL
run18,task3,1,PROC
run18,task3,2,HYPO
run18,task3,3,EVAL
run18,task3,4,EVAL
run18,task3,5,RUL
run18,task3,6,HYPO
run18,task3,7,EVAL
run18,task3,8,EVAL
run18,task3,9,EVAL
run18,task3,10,HYPO
run18,task3,11,RUL
run19,task3,1,HYPO
run19,task3,2,HYPO
run19,task3,3,HYPO
run19,task3,4,EVAL
run19,task3,5,DEC
run19,task3,6,EVAL
run19,task3,7,EVAL
run19,task3,8,EVAL
run19,task3,9,EVAL
run19,task3,10,HYPO
run19,task3,11,EVAL
run19,task3,12,RUL
run20,task3,1,HYPO
run20,task3,2,EVAL
run20,task3,3,EVAL
run20,task3,4,HYPO
run20,task3,5,EVAL
run20,task3,6,EVAL
run20,task3,7,HYPO
run20,task3,8,EVAL
run20,task3,9,HYPO
run20,task3,10,EVAL
run20,task3,11,EVAL
run20,task3,12,EVAL
run20,task3,13,EVAL
run20,task3,14,RUL
run20,task3,15,EVAL
run20,task3,16,EVAL
run21,task3,1,HYPO
run21,task3,2,EVAL
run21,task3,3,EVAL
run21,task3,4,HYPO
run21,task3,5,EVAL
run21,task3,6,EVAL
run21,task3,7,EVAL
run21,task3,8,DEC
run21,task3,9,HYPO
run21,task3,10,HYPO
run21,task3,11,RUL
run21,task3,12,RUL
run22,task3,1,PROC
run22,task3,2,HYPO
run22,task3,3,EVAL
run22,task3,4,EVAL
run22,task3,5,EVAL
run22,task3,6,HYPO
run22,task3,7,HYPO
run22,task3,8,RUL
run22,task3,9,EVAL
run22,task3,10,EVAL
run22,task3,11,RUL
run23,task3,1,HYPO
run23,task3,2,EVAL
run23,task3,3,EVAL
run23,task3,4,EVAL
run23,task3,5,EVAL
run23,task3,6,HYPO
run23,task3,7,HYPO
run23,task3,8,EVAL
run23,task3,9,EVAL
